run,selection_policy,selected_candidate_set_hash,trade_candidate_set_hash,selected_count,trade_overlap,total_return,cagr,max_drawdown,sharpe,calmar,profit_factor,trade_count,cluster_expectancy_ci95_low,cluster_expectancy_ci95_high,engine_scope
891,RANDOM,2415250f7946e1dab1e4e85c916d8105a8c637c39b7d618115f9029a3ce3894f,2415250f7946e1dab1e4e85c916d8105a8c637c39b7d618115f9029a3ce3894f,30,,-0.102548,-0.102548,-0.253885,-1.008786,-0.403915,0.758629,30,,,stateful_replay_over_full_engine_hard_pass
892,RANDOM,259ac5788aafa871607f4b0faa6807d4ff01b29304bedf75eefe7636f422df38,259ac5788aafa871607f4b0faa6807d4ff01b29304bedf75eefe7636f422df38,30,,0.130874,0.130874,-0.123491,1.048112,1.059787,1.365977,30,,,stateful_replay_over_full_engine_hard_pass
893,RANDOM,6e03b7b3930d0d452a8a79095042976b57b9682f1489ade235dd03f4b52140c4,6e03b7b3930d0d452a8a79095042976b57b9682f1489ade235dd03f4b52140c4,30,,0.539026,0.539026,-0.060259,2.842144,8.945168,3.289627,30,,,stateful_replay_over_full_engine_hard_pass
894,RANDOM,55119887e5a50e7776d02103e1cf1b8ea811e5403e936ef8dedf7362d71be957,55119887e5a50e7776d02103e1cf1b8ea811e5403e936ef8dedf7362d71be957,30,,0.699281,0.699281,-0.083744,2.870897,8.350202,4.392010,30,,,stateful_replay_over_full_engine_hard_pass
895,RANDOM,7ecad7519cc86c9e30e378cec697528eef1f66c513c9b1b168cb922da834efab,7ecad7519cc86c9e30e378cec697528eef1f66c513c9b1b168cb922da834efab,30,,0.601643,0.601643,-0.063713,2.449247,9.442959,3.155858,30,,,stateful_replay_over_full_engine_hard_pass
896,RANDOM,86de24a52824dd53431867e41f6d60a80083a9a59e5f7626ee7e63e2e5b41d2d,86de24a52824dd53431867e41f6d60a80083a9a59e5f7626ee7e63e2e5b41d2d,30,,0.288175,0.288175,-0.089069,1.958320,3.235429,2.005809,30,,,stateful_replay_over_full_engine_hard_pass
897,RANDOM,5a85e1c1041fe31c7773a035815dfded0172de62333aedb410836e2654e23624,5a85e1c1041fe31c7773a035815dfded0172de62333aedb410836e2654e23624,30,,0.417565,0.417565,-0.089686,1.917920,4.655879,2.300319,30,,,stateful_replay_over_full_engine_hard_pass
898,RANDOM,39d4802c04caa3c44215634c4ca595b5829173c4286244d0c31043ffb694861c,39d4802c04caa3c44215634c4ca595b5829173c4286244d0c31043ffb694861c,30,,0.521354,0.521354,-0.098466,2.088653,5.294751,2.503013,30,,,stateful_replay_over_full_engine_hard_pass
899,RANDOM,750925ab07da2a5b02d215f6e79c8811cadc63f45004744235891e5d757fb031,750925ab07da2a5b02d215f6e79c8811cadc63f45004744235891e5d757fb031,30,,0.669633,0.669633,-0.066276,2.931098,10.103631,4.253132,30,,,stateful_replay_over_full_engine_hard_pass
900,RANDOM,fd134c4c3ff08867eb7ccfab2c3e58b3c0bdfd41eb55bbf1178a1902ae616518,fd134c4c3ff08867eb7ccfab2c3e58b3c0bdfd41eb55bbf1178a1902ae616518,30,,0.042106,0.042106,-0.187558,0.284697,0.224499,1.116395,30,,,stateful_replay_over_full_engine_hard_pass
