window,date,quantile_count,quantile,candidate_count,average_future_return,average_excess_return,mfe,mae,target_hit_rate,stop_hit_rate
5,2026-01-09,5,3,3,0.007087,0.015007,0.103494,-0.081959,0.333333,0.666667
5,2026-01-09,5,4,3,-0.053207,-0.045287,0.068261,-0.101991,0.333333,1.000000
5,2026-01-09,5,5,1,-0.069897,-0.061977,0.058144,-0.082474,0.000000,0.000000
5,2026-02-10,5,1,2,0.138590,0.134303,0.177020,-0.009932,1.000000,0.500000
5,2026-02-10,5,2,2,0.083702,0.079415,0.146215,-0.007320,1.000000,0.500000
5,2026-02-10,5,3,2,-0.056482,-0.060769,0.057484,-0.083904,0.500000,0.500000
5,2026-02-10,5,4,2,0.052472,0.048185,0.127484,-0.037467,0.500000,1.000000
5,2026-02-10,5,5,2,-0.012697,-0.016984,0.076284,-0.042179,0.500000,0.500000
5,2026-02-24,5,1,3,-0.000762,0.011474,0.091772,-0.025570,0.333333,1.000000
5,2026-02-24,5,2,3,-0.047873,-0.035636,0.062481,-0.051774,0.333333,1.000000
5,2026-02-24,5,3,3,-0.065883,-0.053646,0.106684,-0.070344,0.333333,1.000000
5,2026-02-24,5,4,3,0.004400,0.016637,0.099908,-0.051181,0.333333,1.000000
5,2026-02-25,10,1,3,-0.086372,-0.057105,0.050986,-0.105116,0.000000,1.000000
5,2026-02-25,10,2,3,0.064971,0.094238,0.133673,-0.013714,0.333333,0.666667
5,2026-02-25,10,3,3,0.000373,0.029640,0.104635,-0.023814,0.000000,1.000000
5,2026-02-25,10,4,3,-0.005982,0.023285,0.037529,-0.057673,0.000000,1.000000
5,2026-02-25,10,5,3,0.089229,0.118495,0.138621,-0.047131,0.333333,0.666667
5,2026-02-25,10,6,3,-0.049815,-0.020548,0.071534,-0.075385,0.666667,1.000000
5,2026-02-25,10,7,3,0.026107,0.055373,0.130611,-0.021486,0.666667,1.000000
5,2026-02-25,10,8,1,-0.089099,-0.059832,0.032495,-0.104822,1.000000,1.000000
5,2026-02-26,5,1,4,-0.054030,-0.043259,0.035111,-0.110626,0.000000,1.000000
5,2026-02-26,5,2,4,-0.013778,-0.003006,0.065008,-0.049741,0.000000,1.000000
5,2026-02-26,5,3,4,-0.014666,-0.003895,0.059929,-0.063013,0.000000,1.000000
5,2026-02-26,5,4,4,0.123055,0.133827,0.220914,-0.036294,0.750000,1.000000
5,2026-02-26,5,5,3,-0.040619,-0.029847,0.039023,-0.067276,0.000000,1.000000
5,2026-04-09,5,1,2,-0.026731,-0.057560,0.031852,-0.045762,0.000000,1.000000
5,2026-04-09,5,2,2,0.071335,0.040506,0.116007,-0.034145,0.000000,0.500000
5,2026-04-09,5,3,2,0.015997,-0.014833,0.084741,-0.043499,1.000000,0.000000
5,2026-04-09,5,4,2,0.091154,0.060324,0.158654,-0.091983,1.000000,0.500000
5,2026-04-09,5,5,2,0.076750,0.045921,0.121695,-0.030940,1.000000,0.000000
5,2026-04-10,5,1,2,0.027297,0.002696,0.070002,-0.023034,0.500000,0.500000
5,2026-04-10,5,2,2,0.088738,0.064137,0.141418,-0.007817,0.500000,0.500000
5,2026-04-10,5,3,2,-0.037536,-0.062137,0.018208,-0.048193,0.000000,0.500000
5,2026-04-10,5,4,2,0.245997,0.221395,0.263552,-0.030863,1.000000,0.000000
5,2026-04-10,5,5,2,0.086499,0.061898,0.143089,-0.007209,0.500000,0.500000
5,2026-05-06,5,1,3,-0.064220,-0.085165,0.004946,-0.099371,0.000000,1.000000
5,2026-05-06,5,2,3,0.012625,-0.008320,0.082941,-0.062061,0.333333,0.666667
5,2026-05-06,5,3,3,0.062337,0.041393,0.144411,-0.012608,1.000000,0.333333
5,2026-05-06,5,4,3,0.022078,0.001133,0.080255,-0.037262,0.333333,0.333333
5,2026-05-06,5,5,2,-0.006694,-0.027639,0.084391,-0.043006,0.500000,1.000000
5,2026-05-11,5,1,3,0.027292,0.053776,0.165078,-0.049300,0.666667,0.666667
5,2026-05-11,5,2,3,-0.019430,0.007054,0.038444,-0.056746,0.000000,1.000000
5,2026-05-11,5,3,3,0.032743,0.059227,0.115044,-0.050787,0.333333,1.000000
5,2026-05-11,5,4,2,0.176345,0.202829,0.211844,-0.071163,1.000000,0.500000
5,2026-06-17,5,1,2,0.130781,0.109614,0.202059,-0.025441,0.500000,0.500000
5,2026-06-17,5,2,2,-0.017590,-0.038758,0.079133,-0.073642,0.000000,1.000000
5,2026-06-17,5,3,2,0.021896,0.000728,0.074127,-0.075478,0.000000,1.000000
5,2026-06-17,5,4,2,0.009307,-0.011860,0.054928,-0.080735,0.500000,1.000000
5,2026-06-17,5,5,2,0.028345,0.007177,0.082842,-0.062102,0.500000,1.000000
5,2026-06-18,5,1,3,-0.028247,-0.011856,0.089148,-0.110127,0.333333,0.666667
5,2026-06-18,5,2,3,-0.040205,-0.023814,0.121405,-0.124973,0.000000,1.000000
5,2026-06-18,5,3,3,0.016354,0.032745,0.111070,-0.066787,0.666667,1.000000
5,2026-06-18,5,4,2,-0.132973,-0.116582,0.050687,-0.209893,0.000000,1.000000
5,2026-06-22,5,1,3,-0.032364,-0.008374,0.066579,-0.084781,0.333333,0.666667
5,2026-06-22,5,2,3,0.024636,0.048626,0.145624,-0.109001,0.666667,0.666667
5,2026-06-22,5,3,3,0.197544,0.221534,0.274787,-0.064313,1.000000,0.666667
5,2026-06-22,5,4,3,0.003216,0.027207,0.163441,-0.093101,0.666667,0.666667
5,2026-06-22,5,5,2,-0.000487,0.023503,0.083143,-0.096095,0.000000,1.000000
5,2026-07-01,5,1,3,-0.094131,-0.071596,0.093465,-0.120805,0.000000,1.000000
5,2026-07-01,5,2,3,-0.096891,-0.074356,0.083934,-0.124790,0.000000,1.000000
5,2026-07-01,5,3,3,-0.001107,0.021428,0.109072,-0.141068,0.333333,1.000000
5,2026-07-01,5,4,2,-0.087505,-0.064970,0.086558,-0.136278,0.000000,1.000000
7,2026-01-09,5,1,3,-0.018342,-0.007697,0.073983,-0.044840,0.333333,1.000000
7,2026-01-09,5,2,3,-0.012609,-0.001965,0.086504,-0.082893,0.333333,0.666667
7,2026-01-09,5,3,3,0.011416,0.022061,0.130978,-0.089311,0.333333,0.666667
7,2026-01-09,5,4,3,-0.068038,-0.057393,0.081140,-0.132719,0.333333,1.000000
7,2026-01-09,5,5,1,-0.016495,-0.005850,0.058144,-0.082474,0.000000,0.000000
7,2026-02-10,5,1,2,0.136455,0.137520,0.201400,-0.009932,1.000000,0.500000
7,2026-02-10,5,2,2,0.089014,0.090079,0.163595,-0.007320,1.000000,0.500000
7,2026-02-10,5,3,2,0.013443,0.014508,0.081401,-0.083904,0.500000,0.500000
7,2026-02-10,5,4,2,0.110737,0.111802,0.176118,-0.037467,0.500000,1.000000
7,2026-02-10,5,5,2,0.038522,0.039587,0.087342,-0.042179,0.500000,0.500000
7,2026-02-24,5,1,3,0.013288,0.027265,0.093567,-0.029703,0.333333,1.000000
7,2026-02-24,5,2,3,0.002518,0.016495,0.084422,-0.074236,0.333333,1.000000
7,2026-02-24,5,3,3,-0.051238,-0.037260,0.106684,-0.081145,0.333333,1.000000
7,2026-02-24,5,4,3,0.052892,0.066870,0.125102,-0.051181,0.333333,1.000000
7,2026-02-25,10,1,3,-0.102773,-0.085700,0.050986,-0.125060,0.000000,1.000000
7,2026-02-25,10,2,3,0.061813,0.078886,0.138117,-0.026213,0.333333,0.666667
7,2026-02-25,10,3,3,0.009553,0.026626,0.104635,-0.026247,0.000000,1.000000
7,2026-02-25,10,4,3,0.014368,0.031441,0.062883,-0.057901,0.000000,1.000000
7,2026-02-25,10,5,3,0.073293,0.090366,0.163582,-0.053192,0.333333,0.666667
7,2026-02-25,10,6,3,0.035399,0.052472,0.077337,-0.075385,0.666667,1.000000
7,2026-02-25,10,7,3,0.083328,0.100401,0.131189,-0.021486,0.666667,1.000000
7,2026-02-25,10,8,1,-0.072327,-0.055254,0.032495,-0.104822,1.000000,1.000000
7,2026-02-26,5,1,4,-0.081906,-0.064273,0.035111,-0.133465,0.000000,1.000000
7,2026-02-26,5,2,4,-0.042082,-0.024449,0.065008,-0.095568,0.000000,1.000000
7,2026-02-26,5,3,4,-0.030430,-0.012797,0.067840,-0.079278,0.000000,1.000000
7,2026-02-26,5,4,4,0.117655,0.135288,0.243245,-0.036294,0.750000,1.000000
7,2026-02-26,5,5,3,-0.075349,-0.057716,0.039023,-0.115619,0.000000,1.000000
7,2026-04-09,5,1,2,-0.062298,-0.097661,0.031852,-0.069076,0.000000,1.000000
7,2026-04-09,5,2,2,0.045433,0.010069,0.119313,-0.034145,0.000000,0.500000
7,2026-04-09,5,3,2,0.204850,0.169486,0.225631,-0.043499,1.000000,0.000000
7,2026-04-09,5,4,2,0.203569,0.168205,0.247979,-0.091983,1.000000,0.500000
7,2026-04-09,5,5,2,0.111144,0.075780,0.170471,-0.030940,1.000000,0.000000
7,2026-04-10,5,1,2,0.041563,0.008441,0.094520,-0.025777,0.500000,0.500000
7,2026-04-10,5,2,2,0.066096,0.032973,0.141418,-0.007817,0.500000,0.500000
7,2026-04-10,5,3,2,-0.050842,-0.083964,0.018208,-0.081051,0.000000,0.500000
7,2026-04-10,5,4,2,0.298354,0.265232,0.337795,-0.030863,1.000000,0.000000
7,2026-04-10,5,5,2,0.048844,0.015722,0.161340,-0.017430,0.500000,0.500000
7,2026-05-06,5,1,3,-0.074997,-0.067601,0.027463,-0.117856,0.000000,1.000000
7,2026-05-06,5,2,3,0.002364,0.009760,0.092395,-0.075210,0.333333,0.666667
7,2026-05-06,5,3,3,0.007167,0.014562,0.144411,-0.020652,1.000000,0.333333
7,2026-05-06,5,4,3,-0.032907,-0.025511,0.085073,-0.064215,0.333333,0.333333
7,2026-05-06,5,5,2,0.013032,0.020428,0.109006,-0.068422,0.500000,1.000000
7,2026-05-11,5,1,3,0.085043,0.108068,0.170916,-0.054944,0.666667,0.666667
7,2026-05-11,5,2,3,-0.027124,-0.004099,0.041859,-0.069718,0.000000,1.000000
