run,selection_policy,selected_candidate_set_hash,trade_candidate_set_hash,selected_count,trade_overlap,total_return,cagr,max_drawdown,sharpe,calmar,profit_factor,trade_count,cluster_expectancy_ci95_low,cluster_expectancy_ci95_high,engine_scope
277,RANDOM_WITHIN_TIES,4ff88de24ac4d42a238d07a625d8214f3a31dfc3e66aa08c0dd8098532597dda,4ff88de24ac4d42a238d07a625d8214f3a31dfc3e66aa08c0dd8098532597dda,30,17,0.307347,0.307347,-0.111359,1.961308,2.759964,2.007372,30,,,stateful_replay_over_full_engine_hard_pass
278,RANDOM_WITHIN_TIES,10bbbf41e3ee257c62bcdb35981a6194c77f9f735a3169fbf60511e246b3ba86,10bbbf41e3ee257c62bcdb35981a6194c77f9f735a3169fbf60511e246b3ba86,30,17,0.264764,0.264764,-0.126511,1.717156,2.092821,1.841941,30,,,stateful_replay_over_full_engine_hard_pass
279,RANDOM_WITHIN_TIES,08cb10de2ee2f623664060d69bb6251b3c23c332619940697efdc3c1fa81a9ce,08cb10de2ee2f623664060d69bb6251b3c23c332619940697efdc3c1fa81a9ce,30,16,0.287991,0.287991,-0.112876,1.854593,2.551406,1.915802,30,,,stateful_replay_over_full_engine_hard_pass
280,RANDOM_WITHIN_TIES,cd121143204542240b0873ac77d490046142b8e47e7c1d54316a5e32babdb57b,cd121143204542240b0873ac77d490046142b8e47e7c1d54316a5e32babdb57b,30,16,0.326713,0.326713,-0.110283,2.033668,2.962489,2.056801,30,,,stateful_replay_over_full_engine_hard_pass
281,RANDOM_WITHIN_TIES,08cb10de2ee2f623664060d69bb6251b3c23c332619940697efdc3c1fa81a9ce,08cb10de2ee2f623664060d69bb6251b3c23c332619940697efdc3c1fa81a9ce,30,16,0.287991,0.287991,-0.112876,1.854593,2.551406,1.915802,30,,,stateful_replay_over_full_engine_hard_pass
282,RANDOM_WITHIN_TIES,4ff88de24ac4d42a238d07a625d8214f3a31dfc3e66aa08c0dd8098532597dda,4ff88de24ac4d42a238d07a625d8214f3a31dfc3e66aa08c0dd8098532597dda,30,17,0.307347,0.307347,-0.111359,1.961308,2.759964,2.007372,30,,,stateful_replay_over_full_engine_hard_pass
283,RANDOM_WITHIN_TIES,cefcb10445b03ef4210b5c375f87a47a6f1fa67a45b577d5f62ab0f7715957ac,cefcb10445b03ef4210b5c375f87a47a6f1fa67a45b577d5f62ab0f7715957ac,30,16,0.369296,0.369296,-0.107147,2.223740,3.446631,2.231882,30,,,stateful_replay_over_full_engine_hard_pass
284,RANDOM_WITHIN_TIES,cefcb10445b03ef4210b5c375f87a47a6f1fa67a45b577d5f62ab0f7715957ac,cefcb10445b03ef4210b5c375f87a47a6f1fa67a45b577d5f62ab0f7715957ac,30,16,0.369296,0.369296,-0.107147,2.223740,3.446631,2.231882,30,,,stateful_replay_over_full_engine_hard_pass
285,RANDOM_WITHIN_TIES,7f7e7954891ec55a8358fa771bdb93f1c26c1e660dcbe44bbcbe5d1b3040661e,7f7e7954891ec55a8358fa771bdb93f1c26c1e660dcbe44bbcbe5d1b3040661e,30,16,0.330574,0.330574,-0.109592,2.078431,3.016403,2.083502,30,,,stateful_replay_over_full_engine_hard_pass
286,RANDOM_WITHIN_TIES,08cb10de2ee2f623664060d69bb6251b3c23c332619940697efdc3c1fa81a9ce,08cb10de2ee2f623664060d69bb6251b3c23c332619940697efdc3c1fa81a9ce,30,16,0.287991,0.287991,-0.112876,1.854593,2.551406,1.915802,30,,,stateful_replay_over_full_engine_hard_pass
