date,code,side,price,shares,fee,reason,signal_date,stop,target
2026-04-03,002840,buy,11.525759999999998,200,5.0,strategy_v5_alpha_ranked_entry,2026-04-02,10.887799999999999,13.290714285714284
2026-04-08,002980,sell,54.972500000000004,300,13.245875,target_close_confirmed,2026-04-07,43.22714285714286,49.13285714285714
2026-04-09,002840,add,12.846419999999998,400,5.0,pyramid_add,2026-04-08,12.200999999999999,15.214285714285715
2026-04-09,300531,buy,20.410199999999996,700,5.0,strategy_v5_alpha_ranked_entry,2026-04-08,19.5118,24.187142857142856
2026-04-09,600602,buy,24.342164999999998,600,5.14605299,strategy_v5_alpha_ranked_entry,2026-04-08,23.9414,29.21785714285714
2026-04-09,603118,buy,13.676834999999999,200,5.02735367,strategy_v5_alpha_ranked_entry,2026-04-08,13.279,15.935714285714287
2026-04-10,603118,add,14.22711,100,5.01422711,pyramid_add,2026-04-09,13.417,16.505714285714287
2026-04-13,301312,sell,116.02196,100,10.801098,three_bars_no_high,2026-04-10,106.336,127.68928571428572
2026-04-14,002840,sell,12.5937,600,8.77811,three_bars_no_high,2026-04-13,12.200999999999999,15.214285714285715
2026-04-14,300531,sell,19.860065000000002,700,11.95102275,three_bars_no_high,2026-04-13,19.5118,24.187142857142856
2026-04-14,603876,buy,24.39219,400,5.09756876,strategy_v5_alpha_ranked_entry,2026-04-13,22.8634,28.655714285714282
2026-04-15,603118,sell,13.89305,300,7.125636650000001,three_bars_no_high,2026-04-14,13.417,16.505714285714287
2026-04-15,603876,add,25.072529999999997,200,5.05014506,pyramid_add,2026-04-14,23.647399999999994,28.95
2026-04-15,603158,buy,13.46673,1000,5.1346673,strategy_v5_alpha_ranked_entry,2026-04-14,12.4754,15.707857142857144
2026-04-15,002638,buy,4.682339999999999,1100,5.0,strategy_v5_alpha_ranked_entry,2026-04-14,4.4394,5.485714285714286
2026-04-16,600602,sell,23.918035,600,12.31891871,close_stop,2026-04-15,23.9414,29.21785714285714
2026-04-16,300201,buy,12.126059999999999,300,5.0,strategy_v5_alpha_ranked_entry,2026-04-15,11.416999999999998,13.994285714285716
2026-04-17,300184,buy,11.935965,1200,5.0,strategy_v5_alpha_ranked_entry,2026-04-16,11.220999999999998,13.543571428571429
2026-04-20,002638,sell,4.63768,1100,7.550724,three_bars_no_high,2026-04-17,4.4394,5.485714285714286
2026-04-21,300184,add,12.856425,400,5.0,pyramid_add,2026-04-20,12.5832,14.614999999999998
2026-04-21,002246,buy,27.063525,300,5.0,strategy_v5_alpha_ranked_entry,2026-04-20,25.685799999999997,31.029285714285713
2026-04-23,603876,sell,24.087950000000003,600,12.3709127,time_stop,2026-04-22,24.71,28.95
2026-04-23,300201,sell,11.644175,300,6.74662625,three_bars_no_high,2026-04-22,11.416999999999998,13.994285714285716
2026-04-24,603158,sell,13.09345,1000,11.6776595,time_stop,2026-04-23,12.4754,15.707857142857144
2026-04-24,002246,sell,24.927530000000004,300,8.7391295,three_bars_no_high,2026-04-23,25.685799999999997,31.029285714285713
2026-04-28,002709,buy,56.52825,100,5.0,strategy_v5_alpha_ranked_entry,2026-04-27,51.205,63.857142857142854
