date,code,name,industry,market_regime,eligible,market_ok,alpha_total,sector_bonus,ranking_score,trend_score,relative_strength_score,volume_quality_score,risk_score,sector_heat_score,entry_score,hard_pass,rank,selected,rejection_reason,shares,stop,target,rr,reasons
2026-01-23,002585,双星新材,制造业,BULL,1,1,87.000000,0.000000,87.000000,35.000000,20.000000,20.000000,12.000000,0.000000,60.000000,1,99,1,,200,7.408800,9.190000,2.064694,MA20>MA60|MA60>MA120|close>MA20|rs20=16.37|rs60=50.30|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-01-28,601857,中国石油,采矿业,BULL,1,1,90.000000,1.734545,91.734545,35.000000,20.000000,15.000000,20.000000,98.909091,60.000000,1,21,1,,1400,10.319400,11.815714,2.320715,MA20>MA60|MA60>MA120|close>MA20|rs20=5.36|rs60=11.27|up_volume_confirm|volume_not_exhausted|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-01-28,688601,力芯微,制造业,BULL,1,1,82.000000,0.000000,82.000000,35.000000,20.000000,15.000000,12.000000,0.000000,60.000000,1,120,1,,200,52.802400,65.156429,2.305337,MA20>MA60|MA60>MA120|close>MA20|rs20=27.27|rs60=40.39|up_volume_confirm|volume_not_exhausted|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-01-28,300708,聚灿光电,制造业,BULL,1,1,72.000000,0.000000,72.000000,25.000000,20.000000,15.000000,12.000000,0.000000,60.000000,1,300,1,,1300,9.927400,11.800000,2.214212,MA20>MA60|close>MA20|rs20=17.47|rs60=14.36|up_volume_confirm|volume_not_exhausted|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-01-29,300863,卡倍亿,制造业,BULL,1,1,72.000000,0.000000,72.000000,35.000000,20.000000,5.000000,12.000000,0.000000,70.000000,1,233,1,,200,53.762800,58.470000,2.804720,MA20>MA60|MA60>MA120|close>MA20|rs20=4.76|rs60=9.30|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|near_ma20|pullback_reclaimed_ma20|rsi_entry_zone
2026-01-30,002970,锐明技术,信息传输、软件和信息技术服务业,BULL,1,1,77.000000,0.072000,77.072000,35.000000,20.000000,10.000000,12.000000,71.200000,60.000000,1,100,1,,200,58.290400,69.963571,2.625659,MA20>MA60|MA60>MA120|close>MA20|rs20=25.17|rs60=35.41|up_volume_confirm|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-02-02,000415,渤海租赁,租赁和商务服务业,NORMAL,1,1,72.000000,0.458824,72.458824,35.000000,20.000000,5.000000,12.000000,77.647059,80.000000,1,89,1,,2500,4.223800,4.550000,2.071563,MA20>MA60|MA60>MA120|close>MA20|rs20=9.02|rs60=22.48|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|near_ma20|pullback_reclaimed_ma20|volume_confirmed|rsi_entry_zone
2026-02-03,688155,先惠技术,制造业,BULL,1,1,80.000000,0.000000,80.000000,40.000000,20.000000,20.000000,0.000000,0.000000,60.000000,1,153,1,,100,90.160000,119.616429,2.766807,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=46.33|rs60=62.48|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-02-03,300398,飞凯材料,制造业,BULL,1,1,77.000000,0.000000,77.000000,25.000000,20.000000,20.000000,12.000000,0.000000,60.000000,1,257,1,,500,26.509000,32.420000,2.434631,MA20>MA60|close>MA20|rs20=21.39|rs60=24.05|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-02-05,600233,圆通速递,交通运输、仓储和邮政业,BULL,1,1,80.000000,0.000000,80.000000,25.000000,20.000000,15.000000,20.000000,0.000000,60.000000,1,75,1,,800,17.346000,19.702857,2.006195,MA20>MA60|close>MA20|rs20=11.36|rs60=9.55|up_volume_confirm|volume_not_exhausted|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-02-09,300739,明阳电路,制造业,BULL,1,1,87.000000,0.000000,87.000000,35.000000,20.000000,20.000000,12.000000,0.000000,80.000000,1,30,1,,700,19.541200,23.300000,2.215948,MA20>MA60|MA60>MA120|close>MA20|rs20=7.20|rs60=25.54|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|pullback_reclaimed_ma20|price_recovered|volume_confirmed|rsi_entry_zone
2026-02-09,603876,鼎胜新材,制造业,BULL,1,1,87.000000,0.000000,87.000000,35.000000,20.000000,20.000000,12.000000,0.000000,60.000000,1,37,1,,800,17.659600,21.320000,4.301854,MA20>MA60|MA60>MA120|close>MA20|rs20=12.56|rs60=21.97|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-02-09,001896,豫能控股,电力、热力、燃气及水生产和供应业,BULL,1,1,85.000000,0.000000,85.000000,35.000000,20.000000,10.000000,20.000000,67.779454,60.000000,1,74,1,,2200,6.438600,7.524286,2.276058,MA20>MA60|MA60>MA120|close>MA20|rs20=14.12|rs60=13.42|up_volume_confirm|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-02-10,300408,三环集团,制造业,BULL,1,1,87.000000,0.000000,87.000000,35.000000,20.000000,20.000000,12.000000,0.000000,60.000000,1,31,1,,100,53.704000,64.115000,2.417925,MA20>MA60|MA60>MA120|close>MA20|rs20=16.59|rs60=25.59|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-02-11,300738,奥飞数据,信息传输、软件和信息技术服务业,BULL,1,1,70.000000,0.000000,70.000000,25.000000,20.000000,20.000000,5.000000,56.588252,60.000000,1,304,1,,600,23.794400,29.690000,2.968498,MA20>MA60|close>MA20|rs20=4.45|rs60=28.67|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
2026-02-12,600388,龙净环保,制造业,BULL,1,1,100.000000,0.000000,100.000000,40.000000,20.000000,20.000000,20.000000,0.000000,60.000000,1,2,1,,100,18.198600,21.116429,2.596042,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=21.91|rs60=15.95|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
