code,name,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,net_pnl,holding_days,entry_reason,exit_reason,entry_costs,exit_costs,entry_count
600666,奥瑞德,2026-03-13,2026-03-18,4.342169999999999,4.107945000000001,1800,-421.6049999999974,13.84925257,-435.4542525699974,5,strategy_v5_alpha_ranked_entry,close_stop,5.07815906,8.771093510000002,1
600667,太极实业,2026-03-18,2026-03-23,11.705849999999998,10.09495,1300,-2094.1699999999964,16.8451279,-2111.0151278999965,5,strategy_v5_alpha_ranked_entry,close_stop,5.15217605,11.69295185,1
300279,和晶科技,2026-03-17,2026-03-24,11.30565,9.685155,1000,-1620.4950000000001,14.8425775,-1635.3375775000002,7,strategy_v5_alpha_ranked_entry,close_stop,5.0,9.8425775,1
601991,大唐发电,2026-03-20,2026-03-24,4.152075,4.09795,3600,-194.8499999999999,17.6733109,-212.5233108999999,4,strategy_v5_alpha_ranked_entry,close_stop,5.1494747,12.5238362,1
601225,陕西煤业,2026-03-23,2026-03-27,27.513749999999998,25.987000000000002,400,-610.6999999999985,15.411403000000004,-626.1114029999984,4,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.110055,10.301348000000003,1
300231,银信科技,2026-03-26,2026-03-30,12.50625,11.764115,1100,-816.3484999999993,16.470263250000002,-832.8187632499993,4,strategy_v5_alpha_ranked_entry,close_stop,5.0,11.47026325,1
000509,华塑控股,2026-03-26,2026-03-30,4.5822899999999995,4.11794,3200,-1485.9199999999987,16.588704,-1502.5087039999987,4,strategy_v5_alpha_ranked_entry,close_stop,5.0,11.588704,1
000968,蓝焰控股,2026-03-30,2026-04-01,11.915955,10.144925,100,-177.10299999999995,10.50724625,-187.61024624999996,2,strategy_v5_alpha_ranked_entry,close_stop,5.0,5.50724625,1
603977,国泰集团,2026-03-30,2026-04-02,16.638315,16.761615,600,73.98000000000025,15.22888408,58.751115920000245,3,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.09982989,10.12905419,1
603738,泰晶科技,2026-03-31,2026-04-03,26.35317,25.417285,500,-467.9424999999995,16.613173525,-484.55567352499946,3,strategy_v5_alpha_ranked_entry,close_stop,5.13176585,11.481407675,1
603876,鼎胜新材,2026-03-31,2026-04-03,22.73136,22.22888,100,-50.24799999999985,11.15640424,-61.40440423999985,3,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.02273136,6.13367288,1
002980,华盛昌,2026-03-26,2026-04-08,40.250114999999994,54.972500000000004,300,4416.715500000003,18.245874999999998,4398.469625000003,13,strategy_v5_alpha_ranked_entry,target_close_confirmed,5.0,13.245875,1
301312,智立方,2026-04-03,2026-04-13,105.862905,116.02196,100,1015.905500000001,15.801098,1000.104402000001,10,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.0,10.801098,1
002840,华统股份,2026-04-03,2026-04-14,12.406199999999998,12.5937,600,112.50000000000107,18.778109999999998,93.72189000000107,11,strategy_v5_alpha_ranked_entry,three_bars_no_high,10.0,8.77811,2
300531,优博讯,2026-04-09,2026-04-14,20.410199999999996,19.860065000000002,700,-385.09449999999566,16.95102275,-402.04552274999565,5,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.0,11.95102275,1
603118,共进股份,2026-04-09,2026-04-15,13.860259999999998,13.89305,300,9.837000000000629,17.16721743,-7.330217429999372,6,strategy_v5_alpha_ranked_entry,three_bars_no_high,10.04158078,7.125636650000001,2
600602,云赛智联,2026-04-09,2026-04-16,24.342164999999998,23.918035,600,-254.47799999999887,17.4649717,-271.94297169999885,7,strategy_v5_alpha_ranked_entry,close_stop,5.14605299,12.31891871,1
002638,勤上股份,2026-04-15,2026-04-20,4.682339999999999,4.63768,1100,-49.12599999999942,12.550723999999999,-61.676723999999425,5,strategy_v5_alpha_ranked_entry,three_bars_no_high,5.0,7.550724,1
