date,equity,peak,drawdown
2026-05-13,123519.841127,124594.298875,-0.008624
2026-05-14,121548.661627,124594.298875,-0.024444
2026-05-15,119434.661627,124594.298875,-0.041412
2026-05-18,120603.320132,124594.298875,-0.032032
2026-05-19,121163.211912,124594.298875,-0.027538
2026-05-20,119047.161044,124594.298875,-0.044522
2026-05-21,116378.837376,124594.298875,-0.065938
2026-05-22,117134.737448,124594.298875,-0.059871
2026-05-25,117128.406532,124594.298875,-0.059922
2026-05-26,116707.627532,124594.298875,-0.063299
2026-05-27,116079.066532,124594.298875,-0.068344
2026-05-28,116434.138515,124594.298875,-0.065494
2026-05-29,114270.436191,124594.298875,-0.082860
2026-06-01,113678.133018,124594.298875,-0.087614
2026-06-02,113655.743366,124594.298875,-0.087793
2026-06-03,114662.551045,124594.298875,-0.079713
2026-06-04,116093.113545,124594.298875,-0.068231
2026-06-05,116807.113545,124594.298875,-0.062500
2026-06-08,115984.340136,124594.298875,-0.069104
2026-06-09,116868.521791,124594.298875,-0.062007
2026-06-10,119413.487291,124594.298875,-0.041581
2026-06-11,120683.584770,124594.298875,-0.031388
2026-06-12,118722.697941,124594.298875,-0.047126
2026-06-15,120330.963420,124594.298875,-0.034218
2026-06-16,120760.764470,124594.298875,-0.030768
2026-06-17,121527.422470,124594.298875,-0.024615
2026-06-18,123214.760470,124594.298875,-0.011072
2026-06-22,123044.455047,124594.298875,-0.012439
2026-06-23,120633.660047,124594.298875,-0.031788
2026-06-24,120817.967971,124594.298875,-0.030309
2026-06-25,121418.668797,124594.298875,-0.025488
2026-06-26,121688.551705,124594.298875,-0.023322
2026-06-29,121521.948271,124594.298875,-0.024659
2026-06-30,126439.608271,126439.608271,0.000000
2026-07-01,128215.146138,128215.146138,0.000000
2026-07-02,126574.636138,128215.146138,-0.012795
2026-07-03,122780.636138,128215.146138,-0.042386
2026-07-06,120979.775105,128215.146138,-0.056431
2026-07-07,120933.927318,128215.146138,-0.056789
2026-07-08,120809.927318,128215.146138,-0.057756
2026-07-09,120623.920070,128215.146138,-0.059207
