code,entry_date,exit_date,net_pnl,exit_reason,signal_date,rank,ranking_score,entry_score,relative_strength_score,reasons
002585,2026-01-26,2026-01-29,-128.244635,three_bars_no_high,2026-01-23,1,87.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=16.37|rs60=50.30|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
688601,2026-01-29,2026-02-02,-1151.954136,close_stop,2026-01-28,2,82.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=27.27|rs60=40.39|up_volume_confirm|volume_not_exhausted|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300863,2026-01-30,2026-02-02,1048.406023,target_close_confirmed,2026-01-29,1,72.000000,70.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=4.76|rs60=9.30|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|near_ma20|pullback_reclaimed_ma20|rsi_entry_zone
300708,2026-01-29,2026-02-03,-458.808734,close_stop,2026-01-28,3,72.000000,60.000000,20.000000,MA20>MA60|close>MA20|rs20=17.47|rs60=14.36|up_volume_confirm|volume_not_exhausted|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
601857,2026-01-29,2026-02-05,-408.154184,three_bars_no_high,2026-01-28,1,91.734545,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=5.36|rs60=11.27|up_volume_confirm|volume_not_exhausted|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
000415,2026-02-03,2026-02-05,548.077869,target_close_confirmed,2026-02-02,1,72.458824,80.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=9.02|rs60=22.48|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|near_ma20|pullback_reclaimed_ma20|volume_confirmed|rsi_entry_zone
002970,2026-02-02,2026-02-06,2141.393616,target_close_confirmed,2026-01-30,1,77.072000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=25.17|rs60=35.41|up_volume_confirm|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300398,2026-02-04,2026-02-06,-1054.836779,close_stop,2026-02-03,2,77.000000,60.000000,20.000000,MA20>MA60|close>MA20|rs20=21.39|rs60=24.05|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
688155,2026-02-04,2026-02-10,-471.361647,three_bars_no_high,2026-02-03,1,80.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=46.33|rs60=62.48|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
600233,2026-02-06,2026-02-11,-23.770898,three_bars_no_high,2026-02-05,1,80.000000,60.000000,20.000000,MA20>MA60|close>MA20|rs20=11.36|rs60=9.55|up_volume_confirm|volume_not_exhausted|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
001896,2026-02-10,2026-02-12,3242.286560,target_close_confirmed,2026-02-09,3,85.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=14.12|rs60=13.42|up_volume_confirm|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300739,2026-02-10,2026-02-25,2681.847253,target_close_confirmed,2026-02-09,1,87.000000,80.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=7.20|rs60=25.54|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|pullback_reclaimed_ma20|price_recovered|volume_confirmed|rsi_entry_zone
300408,2026-02-11,2026-02-25,1177.400200,target_close_confirmed,2026-02-10,1,87.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=16.59|rs60=25.59|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
300738,2026-02-12,2026-02-25,-1115.995756,close_stop,2026-02-11,3,70.000000,60.000000,20.000000,MA20>MA60|close>MA20|rs20=4.45|rs60=28.67|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
603876,2026-02-10,2026-03-04,-180.745028,close_stop,2026-02-09,2,87.000000,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=12.56|rs60=21.97|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
002297,2026-02-26,2026-03-04,-1287.125251,close_stop,2026-02-25,2,87.952679,60.000000,20.000000,MA20>MA60|MA60>MA120|close>MA20|rs20=13.89|rs60=51.42|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
