candidate_id,date,code,name,industry,market_regime,eligible,market_ok,alpha_pass,entry_pass,regime_pass,sector_data_status,four_no_pass,stop_valid,rr_pass,position_neutral_sizing_feasible,alpha_total,sector_bonus,ranking_score,trend_score,relative_strength_score,volume_quality_score,risk_score,sector_heat_score,entry_score,hard_pass,rank,selected,reason_code,order_intent_id,pending_order_id,requested_shares,shares,signal_close,planned_stop,planned_target,ex_ante_rr,initial_risk_cash,stop,target,rr,reason_codes,reasons
cand_b76f533f81e0329e,2026-04-16,605222,起帆电缆,制造业,NORMAL,1,1,1,1,1,mapped,1,1,1,1,74.000000,0.976029,74.976029,35.000000,20.000000,15.000000,4.000000,86.267154,60.000000,1,4,0,capacity,,,400,0,26.610000,24.607800,31.180714,2.282846,800.880000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=16.06|rs60=37.11|up_volume_confirm|volume_not_exhausted|mid_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_a8843f4a539da485,2026-04-17,601311,骆驼股份,制造业,NORMAL,1,1,1,1,1,mapped,1,1,1,1,95.000000,1.222254,96.222254,35.000000,20.000000,20.000000,20.000000,90.370906,60.000000,1,1,0,capacity,,,1400,0,10.410000,9.976400,11.415000,2.317804,607.040000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=8.16|rs60=11.38|up_volume_confirm|volume_not_exhausted|pullback_volume_control|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_1736ff1813e3c7ae,2026-04-17,001203,大中矿业,采矿业,NORMAL,1,1,1,1,1,mapped,1,1,1,1,87.000000,0.000000,87.000000,35.000000,20.000000,20.000000,12.000000,65.441643,60.000000,1,2,0,capacity,,,300,0,46.520000,44.688000,54.656429,4.441282,549.600000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=37.80|rs60=60.31|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_cb945fdb1c46d9a9,2026-04-17,301479,弘景光电,制造业,NORMAL,1,1,1,1,1,mapped,1,1,1,1,82.000000,1.222254,83.222254,40.000000,20.000000,10.000000,12.000000,90.370906,60.000000,1,3,0,capacity,,,100,0,108.880000,100.136400,127.287143,2.105213,874.360000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|trend_persistence|rs20=10.06|rs60=17.99|up_volume_confirm|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_7172b49647509431,2026-04-17,300490,华自科技,制造业,NORMAL,1,1,1,1,1,mapped,1,1,1,1,79.000000,1.222254,80.222254,35.000000,20.000000,20.000000,4.000000,90.370906,60.000000,1,4,0,capacity,,,600,0,20.450000,18.992400,23.722143,2.244884,874.560000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=22.91|rs60=56.39|up_volume_confirm|volume_not_exhausted|pullback_volume_control|mid_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_c7b9d2821d94827d,2026-04-17,002771,真视通,信息传输、软件和信息技术服务业,NORMAL,1,1,1,1,1,mapped,1,1,1,1,77.000000,0.520287,77.520287,35.000000,20.000000,10.000000,12.000000,78.671446,60.000000,1,5,0,capacity,,,800,0,18.520000,18.130000,21.434286,7.472527,312.000000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=9.62|rs60=13.14|up_volume_confirm|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_b4e6f675b0a91ef7,2026-04-17,688226,威腾电气,制造业,NORMAL,1,1,1,1,1,mapped,1,1,1,1,75.000000,1.222254,76.222254,35.000000,20.000000,20.000000,0.000000,90.370906,60.000000,1,6,0,capacity,,,200,0,57.360000,52.557400,69.754286,2.580745,960.520000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=25.75|rs60=38.23|up_volume_confirm|volume_not_exhausted|pullback_volume_control|high_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_881022d5ef578f0a,2026-04-17,603220,中贝通信,信息传输、软件和信息技术服务业,NORMAL,1,1,1,1,1,mapped,1,1,1,1,74.000000,0.520287,74.520287,35.000000,20.000000,15.000000,4.000000,78.671446,60.000000,1,7,0,capacity,,,400,0,32.240000,30.977800,37.224286,3.948887,504.880000,,,,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=14.53|rs60=30.75|up_volume_confirm|volume_not_exhausted|mid_atr|extended_from_ma20|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_6a9c5a91f3246085,2026-04-17,000062,深圳华强,批发和零售业,NORMAL,1,1,1,1,1,mapped,1,1,1,1,72.000000,0.321671,72.321671,25.000000,20.000000,15.000000,12.000000,75.361180,60.000000,1,8,0,capacity,,,500,0,29.760000,28.890400,34.924286,5.938691,434.800000,,,,ok,MA20>MA60|close>MA20|rs20=8.75|rs60=17.72|up_volume_confirm|volume_not_exhausted|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
cand_22bb1c2861c6a33a,2026-04-20,002246,北化股份,制造业,BULL,1,1,1,1,1,mapped,1,1,1,1,82.000000,1.288942,83.288942,35.000000,20.000000,15.000000,12.000000,91.482364,60.000000,1,1,1,ok,intent_63e50bcd211c7fd5,pend_b7a94b56e1bb370f,300,300,27.050000,25.685800,31.029286,2.916937,682.100000,25.685800,31.029286,2.916937,ok,MA20>MA60|MA60>MA120|close>MA20|rs20=7.10|rs60=35.53|up_volume_confirm|volume_not_exhausted|mid_atr|trend_ma20_gt_ma60|price_recovered|volume_confirmed|rsi_entry_zone
