date,equity,peak,drawdown
2026-06-02,101968.377824,111978.205792,-0.089391
2026-06-03,104113.404378,111978.205792,-0.070235
2026-06-04,104531.635683,111978.205792,-0.066500
2026-06-05,104432.426971,111978.205792,-0.067386
2026-06-08,104560.449466,111978.205792,-0.066243
2026-06-09,103878.773536,111978.205792,-0.072330
2026-06-10,105157.148036,111978.205792,-0.060914
2026-06-11,104654.148036,111978.205792,-0.065406
2026-06-12,103529.148036,111978.205792,-0.075453
2026-06-15,104817.637926,111978.205792,-0.063946
2026-06-16,104445.265540,111978.205792,-0.067271
2026-06-17,106017.550540,111978.205792,-0.053230
2026-06-18,106753.550540,111978.205792,-0.046658
2026-06-22,106134.261990,111978.205792,-0.052188
2026-06-23,104704.437990,111978.205792,-0.064957
2026-06-24,104029.694426,111978.205792,-0.070983
2026-06-25,104417.827145,111978.205792,-0.067517
2026-06-26,103913.465017,111978.205792,-0.072021
2026-06-29,102228.670583,111978.205792,-0.087066
2026-06-30,103329.698577,111978.205792,-0.077234
2026-07-01,102410.528870,111978.205792,-0.085442
2026-07-02,104379.111167,111978.205792,-0.067862
2026-07-03,101675.013667,111978.205792,-0.092011
2026-07-06,100789.465395,111978.205792,-0.099919
2026-07-07,101704.753411,111978.205792,-0.091745
2026-07-08,101084.753411,111978.205792,-0.097282
2026-07-09,100174.717171,111978.205792,-0.105409
