decision_date,code,side,reason,candidate_id,order_intent_id,pending_order_id,requested_shares,shares,signal_date,signal_regime,signal_close,planned_stop,planned_target,rr,initial_risk_cash
2026-01-30,300863,sell,target_close_confirmed,cand_26d34deafb8c80f6,intent_575a017072ec604a,pend_575a017072ec604a,200,200,2026-01-30,BULL,60.440000,58.444000,58.470000,0.000000,266.947000
2026-01-30,002970,buy,strategy_v5_alpha_ranked_entry,cand_1ff9618e6e6f76cc,intent_83b2d95106d892ae,pend_2adb2a06707464ea,200,200,2026-01-30,BULL,61.510000,58.290400,69.963571,2.625659,643.920000
2026-02-02,300708,sell,close_stop,cand_581e18fb6938cb4d,intent_fc7a1864d84358b8,pend_fc7a1864d84358b8,1300,1300,2026-02-02,NORMAL,9.910000,9.927400,11.800000,0.000000,595.127000
2026-02-02,000415,buy,strategy_v5_alpha_ranked_entry,cand_2696e5d1b52bfb37,intent_7ede09b417116cf3,pend_c409017205090fdf,2500,2500,2026-02-02,NORMAL,4.330000,4.223800,4.550000,2.071563,265.500000
2026-02-03,688155,buy,strategy_v5_alpha_ranked_entry,cand_8548b3fbdecebfc0,intent_e885a92f1d94b4df,pend_a1ff7d981c688b03,100,100,2026-02-03,BULL,97.980000,90.160000,119.616429,2.766807,782.000000
2026-02-03,300398,buy,strategy_v5_alpha_ranked_entry,cand_707c5b49dfa1527f,intent_6aec17891f31706d,pend_0780efd3d85cea73,500,500,2026-02-03,BULL,28.230000,26.509000,32.420000,2.434631,860.500000
2026-02-04,601857,sell,three_bars_no_high,cand_d779e30efdc34a5d,intent_11af8e8d76756c6e,pend_11af8e8d76756c6e,1300,1300,2026-02-04,BULL,10.560000,10.319400,11.815714,0.000000,761.865000
2026-02-04,000415,sell,target_close_confirmed,cand_2696e5d1b52bfb37,intent_e91dc02a79edb562,pend_e91dc02a79edb562,2500,2500,2026-02-04,BULL,4.610000,4.486000,4.550000,0.000000,345.950000
2026-02-05,002970,sell,target_close_confirmed,cand_1ff9618e6e6f76cc,intent_b1cfaee4e1e54cd4,pend_b1cfaee4e1e54cd4,200,200,2026-02-05,BULL,72.740000,65.330000,69.963571,0.000000,640.066000
2026-02-05,300398,sell,close_stop,cand_707c5b49dfa1527f,intent_b7f025a8f7d1ffa4,pend_b7f025a8f7d1ffa4,500,500,2026-02-05,BULL,26.240000,26.509000,32.420000,0.000000,662.455000
2026-02-05,600233,buy,strategy_v5_alpha_ranked_entry,cand_605e77e38be63654,intent_c75b9b0171e3983c,pend_6f9ff936de3f03f3,800,800,2026-02-05,BULL,18.130000,17.346000,19.702857,2.006195,627.200000
2026-02-09,688155,sell,three_bars_no_high,cand_8548b3fbdecebfc0,intent_9ae91140136dee3a,pend_9ae91140136dee3a,100,100,2026-02-09,BULL,93.400000,90.160000,119.616429,0.000000,735.873500
