code,name,industry
000672,上峰材料,制造业
000673,当代退,UNMAPPED_000
000676,智度股份,租赁和商务服务业
000677,ST海龙,制造业
000678,襄阳轴承,制造业
000679,大连友谊,批发和零售业
000680,山推股份,制造业
000681,视觉中国,信息传输、软件和信息技术服务业
000682,东方电子,信息传输、软件和信息技术服务业
000683,博源化工,制造业
000685,中山公用,电力、热力、燃气及水生产和供应业
000686,东北证券,金融业
000687,华讯退,UNMAPPED_000
000688,国城矿业,采矿业
000690,宝新能源,电力、热力、燃气及水生产和供应业
000691,亚太实业,制造业
000692,惠天热电,电力、热力、燃气及水生产和供应业
000693,华泽退,UNMAPPED_000
000695,滨海能源,制造业
000697,炼石航空,制造业
000698,ST沈化,制造业
000700,模塑科技,制造业
000701,厦门信达,批发和零售业
000702,正虹科技,制造业
000703,恒逸石化,制造业
000705,浙江震元,批发和零售业
000707,双环科技,制造业
000708,中信特钢,制造业
000709,河钢股份,制造业
000710,贝瑞基因,科学研究和技术服务业
000711,ST京蓝,制造业
000712,锦龙股份,金融业
000713,国投丰乐,农、林、牧、渔业
000715,中兴商业,批发和零售业
000716,黑芝麻,制造业
000717,中南股份,制造业
000718,苏宁环球,房地产业
000719,中原传媒,文化、体育和娱乐业
000720,新能泰山,制造业
000721,西安饮食,住宿和餐饮业
000722,湖南发展,电力、热力、燃气及水生产和供应业
000723,美锦能源,制造业
000725,京东方A,制造业
000726,鲁泰A,制造业
000727,冠捷科技,制造业
000728,国元证券,金融业
000729,燕京啤酒,制造业
000731,四川美丰,制造业
000732,ST泰禾,UNMAPPED_000
000733,振华科技,制造业
000735,罗牛山,农、林、牧、渔业
000736,中交发展,房地产业
000737,北方铜业,制造业
000738,航发控制,制造业
000739,普洛药业,制造业
000748,长城信息,UNMAPPED_000
000750,国海证券,金融业
000751,锌业股份,制造业
000752,*ST西发,制造业
000753,漳州发展,批发和零售业
000755,山西高速,交通运输、仓储和邮政业
000756,新华制药,制造业
000757,浩物股份,批发和零售业
000758,中色股份,采矿业
000759,中百集团,批发和零售业
000760,斯太退,UNMAPPED_000
000761,本钢板材,制造业
000762,西藏矿业,采矿业
000766,通化金马,制造业
000767,晋控电力,电力、热力、燃气及水生产和供应业
000768,中航西飞,制造业
000776,广发证券,金融业
000777,中核科技,制造业
000778,新兴铸管,制造业
000779,甘咨询,科学研究和技术服务业
000780,ST平能,UNMAPPED_000
000782,恒申新材,制造业
000783,长江证券,金融业
000785,居然智家,租赁和商务服务业
000786,北新建材,制造业
000788,北大医药,制造业
000789,万年青,制造业
000790,华神科技,制造业
000791,甘肃能源,电力、热力、燃气及水生产和供应业
000792,盐湖股份,制造业
000793,*ST华闻,文化、体育和娱乐业
000795,英洛华,制造业
000796,凯撒旅业,租赁和商务服务业
000797,中国武夷,房地产业
000798,中水渔业,农、林、牧、渔业
000799,酒鬼酒,制造业
000800,一汽解放,制造业
000801,四川九洲,制造业
000802,北京文化,文化、体育和娱乐业
000803,山高环能,水利、环境和公共设施管理业
000806,银河退,UNMAPPED_000
000807,云铝股份,制造业
000809,和展能源,制造业
000810,创维数字,制造业
000811,冰轮环境,制造业
000812,陕西金叶,制造业
000813,德展健康,制造业
000815,美利云,制造业
000816,智慧农业,制造业
000818,航锦科技,制造业
000819,岳阳兴长,制造业
000820,*ST节能,科学研究和技术服务业
000821,ST京机,制造业
000822,山东海化,制造业
000823,超声电子,制造业
000825,太钢不锈,制造业
000826,*ST启环,水利、环境和公共设施管理业
000828,东莞控股,交通运输、仓储和邮政业
000829,天音控股,批发和零售业
000830,鲁西化工,制造业
000831,中国稀土,制造业
000833,粤桂股份,综合
000835,长动退,UNMAPPED_000
000836,ST富通,UNMAPPED_000
000837,秦川机床,制造业
000838,*ST发展,房地产业
000839,国安股份,信息传输、软件和信息技术服务业
000848,承德露露,制造业
000850,华茂股份,制造业
000851,*ST高鸿,UNMAPPED_000
000852,石化机械,制造业
000856,冀东装备,制造业
000858,五粮液,制造业
000859,国风新材,制造业
000860,顺鑫农业,制造业
000861,海印股份,UNMAPPED_000
000862,银星能源,电力、热力、燃气及水生产和供应业
000863,三湘印象,房地产业
000868,安凯客车,制造业
000869,张裕A,制造业
000875,电投绿能,电力、热力、燃气及水生产和供应业
000876,新希望,制造业
000877,天山股份,制造业
000878,云南铜业,制造业
000880,潍柴重机,制造业
000881,中广核技,制造业
000882,华联股份,租赁和商务服务业
000883,湖北能源,电力、热力、燃气及水生产和供应业
000885,城发环境,水利、环境和公共设施管理业
000886,海南高速,交通运输、仓储和邮政业
000887,中鼎股份,制造业
000888,峨眉山A,水利、环境和公共设施管理业
000889,中嘉博创,信息传输、软件和信息技术服务业
000890,法尔胜,制造业
000892,欢瑞世纪,文化、体育和娱乐业
000893,亚钾国际,制造业
000895,双汇发展,制造业
000897,津滨发展,房地产业
000898,鞍钢股份,制造业
000899,赣能股份,电力、热力、燃气及水生产和供应业
000900,现代投资,交通运输、仓储和邮政业
000901,航天科技,制造业
000902,新洋丰,制造业
000903,ST云动,制造业
000905,厦门港务,批发和零售业
000906,浙商中拓,租赁和商务服务业
000908,石药景峰,制造业
000909,*ST数源,房地产业
000910,大亚圣象,制造业
000911,*ST广糖,制造业
000912,泸天化,制造业
000913,钱江摩托,制造业
000915,华特达因,制造业
000916,华北高速,UNMAPPED_000
000917,电广传媒,信息传输、软件和信息技术服务业
000918,*ST嘉凯,UNMAPPED_000
000919,金陵药业,制造业
000920,沃顿科技,制造业
000921,海信家电,制造业
000922,佳电股份,制造业
000923,河钢资源,采矿业
000925,众合科技,制造业
000926,福星股份,房地产业
000927,中国铁物,租赁和商务服务业
000928,中钢国际,建筑业
000929,兰州黄河,制造业
000930,中粮科技,制造业
000931,中关村,制造业
000932,华菱钢铁,制造业
000933,神火股份,制造业
000935,四川双马,制造业
000936,华西股份,制造业
000937,冀中能源,采矿业
000938,紫光股份,制造业
