date,hard_pass,already_in_position,risk_halted,ranked,sector_cap_rejected,gross_exposure_rejected,cash_rejected,lot_size_rejected,max_positions_rejected,pending,open_limit_blocked,filled,completed_trade
2026-03-10,6,0,0,6,0,0,0,0,0,1,0,1,1
2026-03-11,5,0,0,5,0,0,0,0,0,0,0,0,0
2026-03-12,9,0,0,9,0,0,0,0,0,1,0,1,1
2026-03-13,1,0,0,1,0,0,0,0,0,0,0,0,0
2026-03-16,2,0,0,2,0,0,0,0,0,1,0,1,1
2026-03-17,1,0,0,1,0,0,0,0,0,1,0,1,1
2026-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-19,3,0,0,3,0,0,0,0,0,2,0,2,2
2026-03-20,1,0,0,1,0,0,0,0,0,0,0,0,0
2026-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-25,3,0,0,3,0,0,0,0,0,3,0,3,3
2026-03-26,4,0,0,4,0,0,0,0,0,2,0,2,2
2026-03-27,3,0,0,3,0,0,0,0,0,0,0,0,0
2026-03-30,6,0,0,6,0,0,0,0,0,2,0,2,2
2026-03-31,3,0,0,3,0,0,0,0,0,1,0,1,1
2026-04-01,1,0,0,1,0,0,0,0,0,1,0,1,1
2026-04-02,3,0,0,3,0,0,0,0,0,1,0,1,1
2026-04-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-08,9,0,0,9,0,0,0,0,0,3,0,3,3
2026-04-09,10,0,0,10,0,0,0,0,0,1,0,1,1
2026-04-10,10,0,0,10,0,0,0,0,0,0,0,0,0
2026-04-13,6,0,0,6,0,0,0,0,0,0,0,0,0
2026-04-14,5,0,0,5,0,0,0,0,0,1,0,1,1
2026-04-15,4,0,0,4,0,0,0,0,0,2,0,2,2
2026-04-16,4,0,0,4,0,0,0,0,0,0,0,0,0
2026-04-17,8,0,0,8,0,0,0,0,0,1,0,1,1
2026-04-20,4,0,0,4,0,0,0,0,0,2,0,2,2
2026-04-21,5,0,0,5,0,0,0,0,0,0,0,0,0
2026-04-22,3,0,0,3,0,0,0,0,0,1,0,1,1
2026-04-23,7,0,0,7,0,0,0,0,0,1,0,1,1
2026-04-24,1,0,0,1,0,0,0,0,0,1,0,1,1
2026-04-27,8,0,0,8,0,0,0,0,0,0,0,0,0
2026-04-28,3,0,0,3,0,0,0,0,0,2,0,2,2
2026-04-29,4,0,0,4,0,0,0,0,0,1,0,1,1
2026-04-30,8,0,0,8,0,0,0,0,0,1,0,1,1
2026-05-06,14,0,0,14,0,0,0,0,0,1,0,1,1
2026-05-07,6,0,0,6,0,0,0,0,0,2,0,2,2
2026-05-08,5,0,0,5,0,0,0,0,0,1,0,1,1
2026-05-11,11,0,0,11,0,0,0,0,0,2,0,2,2
2026-05-12,7,0,0,7,0,0,0,0,0,0,0,0,0
2026-05-13,8,0,0,8,0,0,0,0,0,2,0,2,2
2026-05-14,5,0,0,5,0,0,0,0,0,0,0,0,0
2026-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-19,3,0,0,3,0,0,0,0,0,3,0,3,3
2026-05-20,5,0,0,5,0,0,0,0,0,1,0,0,0
2026-05-21,4,0,0,4,0,0,0,0,0,0,0,0,0
2026-05-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-25,7,0,0,7,0,0,0,0,0,3,0,3,3
