run,trade_count,total_return_proxy,cagr_proxy,max_drawdown_proxy,sharpe_proxy,profit_factor,win_rate,cluster_expectancy
120,409,0.043377,0.546553,-0.376111,0.564882,1.608068,0.452323,0.043377
121,409,0.019241,0.242434,-0.386988,0.282253,1.259343,0.425428,0.019241
122,409,0.030102,0.379282,-0.355552,0.435111,1.416764,0.454768,0.030102
123,409,0.038088,0.479907,-0.355552,0.522337,1.528687,0.464548,0.038088
124,409,0.040612,0.511710,-0.420085,0.560258,1.593180,0.462103,0.040612
125,409,0.035822,0.451361,-0.376111,0.487789,1.492915,0.449878,0.035822
126,409,0.027013,0.340369,-0.376111,0.385266,1.364780,0.447433,0.027013
127,409,0.028754,0.362305,-0.376111,0.413003,1.390356,0.447433,0.028754
128,409,0.031625,0.398475,-0.376111,0.441427,1.429854,0.435208,0.031625
129,409,0.031375,0.395321,-0.420085,0.438100,1.427708,0.444988,0.031375
130,409,0.023080,0.290807,-0.376111,0.331836,1.310714,0.432763,0.023080
131,409,0.024430,0.307814,-0.376111,0.346194,1.325450,0.437653,0.024430
132,409,0.030748,0.387423,-0.355552,0.437174,1.418415,0.447433,0.030748
133,409,0.035172,0.443167,-0.355552,0.487674,1.491528,0.457213,0.035172
134,409,0.021992,0.277100,-0.355552,0.328556,1.291401,0.435208,0.021992
135,409,0.034716,0.437426,-0.420085,0.489966,1.485711,0.459658,0.034716
136,409,0.033630,0.423734,-0.420085,0.458792,1.455027,0.442543,0.033630
137,409,0.033022,0.416074,-0.420085,0.443165,1.444204,0.442543,0.033022
138,409,0.038190,0.481199,-0.386988,0.518088,1.526036,0.454768,0.038190
139,409,0.031583,0.397946,-0.420085,0.437242,1.424987,0.435208,0.031583
140,409,0.032752,0.412675,-0.376111,0.461508,1.447649,0.452323,0.032752
141,409,0.028317,0.356798,-0.420085,0.385243,1.381227,0.437653,0.028317
142,409,0.022168,0.279318,-0.420085,0.323082,1.289249,0.442543,0.022168
143,409,0.030062,0.378786,-0.376111,0.419779,1.401882,0.435208,0.030062
144,409,0.039820,0.501731,-0.355552,0.531286,1.555301,0.457213,0.039820
145,409,0.034171,0.430554,-0.420085,0.444897,1.450815,0.437653,0.034171
146,409,0.034236,0.431378,-0.420085,0.476147,1.469760,0.454768,0.034236
147,409,0.036835,0.464120,-0.386988,0.500556,1.512949,0.449878,0.036835
148,409,0.033280,0.419326,-0.420085,0.448772,1.455923,0.442543,0.033280
149,409,0.034250,0.431546,-0.420085,0.461371,1.462561,0.444988,0.034250
150,409,0.033708,0.424716,-0.376111,0.467106,1.464343,0.442543,0.033708
151,409,0.029186,0.367743,-0.355552,0.416816,1.401727,0.440098,0.029186
152,409,0.037754,0.475701,-0.386988,0.501705,1.507513,0.449878,0.037754
153,409,0.030958,0.390065,-0.376111,0.436291,1.432398,0.440098,0.030958
154,409,0.032133,0.404875,-0.420085,0.430342,1.428999,0.442543,0.032133
155,409,0.036762,0.463200,-0.376111,0.490535,1.494858,0.459658,0.036762
156,409,0.031507,0.396992,-0.386988,0.451268,1.450000,0.457213,0.031507
157,409,0.041657,0.524880,-0.355552,0.568133,1.602599,0.457213,0.041657
158,409,0.026187,0.329950,-0.420085,0.359897,1.349025,0.435208,0.026187
159,409,0.019603,0.246994,-0.420085,0.286948,1.255150,0.440098,0.019603
160,409,0.034978,0.440719,-0.420085,0.480810,1.489229,0.454768,0.034978
161,409,0.023632,0.297758,-0.420085,0.348612,1.322162,0.435208,0.023632
162,409,0.037686,0.474843,-0.420085,0.501811,1.529742,0.449878,0.037686
163,409,0.026948,0.339548,-0.376111,0.391024,1.370665,0.452323,0.026948
164,409,0.035337,0.445248,-0.376111,0.493212,1.499822,0.457213,0.035337
165,409,0.024911,0.313882,-0.420085,0.354554,1.330289,0.437653,0.024911
166,409,0.033576,0.423061,-0.386988,0.461675,1.461949,0.449878,0.033576
167,409,0.028955,0.364839,-0.376111,0.400013,1.387291,0.440098,0.028955
168,409,0.031590,0.398030,-0.376111,0.456531,1.440906,0.452323,0.031590
169,409,0.023965,0.301960,-0.420085,0.344770,1.317489,0.444988,0.023965
170,409,0.031908,0.402042,-0.355552,0.436644,1.431968,0.444988,0.031908
171,409,0.029796,0.375433,-0.355552,0.427940,1.409748,0.452323,0.029796
172,409,0.030163,0.380051,-0.355552,0.432625,1.413840,0.447433,0.030163
173,409,0.028844,0.363432,-0.376111,0.400682,1.384172,0.435208,0.028844
174,409,0.042833,0.539698,-0.355552,0.573506,1.606010,0.459658,0.042833
175,409,0.031792,0.400579,-0.355552,0.437997,1.431618,0.437653,0.031792
176,409,0.037708,0.475126,-0.420085,0.525012,1.533495,0.457213,0.037708
177,409,0.034708,0.437325,-0.376111,0.479240,1.487717,0.449878,0.034708
178,409,0.022059,0.277947,-0.386988,0.306718,1.275313,0.432763,0.022059
179,409,0.037358,0.470714,-0.420085,0.512432,1.524744,0.452323,0.037358
180,409,0.030153,0.379926,-0.420085,0.421797,1.413017,0.452323,0.030153
181,409,0.028277,0.356288,-0.355552,0.401949,1.389895,0.437653,0.028277
182,409,0.037677,0.474736,-0.376111,0.505636,1.523222,0.440098,0.037677
183,409,0.034771,0.438114,-0.355552,0.480908,1.496219,0.452323,0.034771
184,409,0.032739,0.412509,-0.420085,0.447862,1.450317,0.435208,0.032739
185,409,0.030999,0.390584,-0.376111,0.431211,1.413809,0.452323,0.030999
186,409,0.039580,0.498702,-0.420085,0.547626,1.559000,0.457213,0.039580
187,409,0.039491,0.497588,-0.355552,0.530673,1.554687,0.459658,0.039491
